id,cases,file_name,file_id,data_type,data_category,experimental_strategy
e31fda47-831b-4504-9791-e3d5cd88fc25,"[{'case_id': '3144f1fb-4342-4079-bfe8-940da4bfd88e', 'submitter_id': 'TCGA-E2-A14V'}]",c6558eca-240d-4a7d-8053-8601a7db4d52.wxs.Pindel.aliquot.maf.gz,e31fda47-831b-4504-9791-e3d5cd88fc25,Annotated Somatic Mutation,Simple Nucleotide Variation,WXS
a621a9ce-0065-4f8b-b3a2-9aec835baae8,"[{'case_id': '2779fa01-ac93-4e80-a997-3385f72172c3', 'submitter_id': 'TCGA-A8-A08S'}]",ad44b37b-0bd2-4289-b03f-d52858da2d0f.rna_seq.transcriptome.gdc_realn.bam,a621a9ce-0065-4f8b-b3a2-9aec835baae8,Aligned Reads,Sequencing Reads,RNA-Seq
dcaa794a-b6f3-4f7c-aca8-4de31285a691,"[{'case_id': '96f23d8a-be0f-4925-ba00-805dc293414c', 'submitter_id': 'TCGA-A2-A0ET'}]",a9e1679a-e60d-4438-a7a3-3e3ec8b15c85.wgs.BRASS.rerun_structural_variation.bedpe,dcaa794a-b6f3-4f7c-aca8-4de31285a691,Structural Rearrangement,Somatic Structural Variation,WGS
724f975c-fe5f-48eb-877d-668f3c561e6e,"[{'case_id': '2779fa01-ac93-4e80-a997-3385f72172c3', 'submitter_id': 'TCGA-A8-A08S'}]",TCGA_BRCA.bd7468c2-bbce-4010-9fca-73f59e65fc16.wxs.MuTect2.somatic_annotation.vcf.gz,724f975c-fe5f-48eb-877d-668f3c561e6e,Annotated Somatic Mutation,Simple Nucleotide Variation,WXS
f2f965fb-c7ae-4aa4-9457-e262b42760a4,"[{'case_id': '96f23d8a-be0f-4925-ba00-805dc293414c', 'submitter_id': 'TCGA-A2-A0ET'}]",bd38e859-1f4f-4b02-8647-4fd6f625144b.wgs.ASCAT.copy_number_variation.seg.txt,f2f965fb-c7ae-4aa4-9457-e262b42760a4,Allele-specific Copy Number Segment,Copy Number Variation,WGS
8bbdacf5-f79f-4b3d-bc0e-ff63c727fe48,"[{'case_id': '3144f1fb-4342-4079-bfe8-940da4bfd88e', 'submitter_id': 'TCGA-E2-A14V'}]",nationwidechildrens.org_clinical.TCGA-E2-A14V.xml,8bbdacf5-f79f-4b3d-bc0e-ff63c727fe48,Clinical Supplement,Clinical,
a44410c4-8d3b-4c28-8983-7d0a4df02247,"[{'case_id': '96f23d8a-be0f-4925-ba00-805dc293414c', 'submitter_id': 'TCGA-A2-A0ET'}]",37d54dff-c731-4d3f-9102-20754db0732d.wxs.aliquot_ensemble_masked.maf.gz,a44410c4-8d3b-4c28-8983-7d0a4df02247,Masked Somatic Mutation,Simple Nucleotide Variation,WXS
b0235494-e7ec-47c2-9fbd-e1cda4c3aeba,"[{'case_id': '3144f1fb-4342-4079-bfe8-940da4bfd88e', 'submitter_id': 'TCGA-E2-A14V'}]",ec4c3a7d-73f1-475d-aa80-3fbe71dae60d.wxs.aliquot_ensemble_masked.maf.gz,b0235494-e7ec-47c2-9fbd-e1cda4c3aeba,Masked Somatic Mutation,Simple Nucleotide Variation,WXS
bb6d0568-683c-4604-90c8-dedfedff9c76,"[{'case_id': '3144f1fb-4342-4079-bfe8-940da4bfd88e', 'submitter_id': 'TCGA-E2-A14V'}]",TCGA-BRCA.e9d48831-bfd2-4727-9f1c-0ebcd3242c81.star_fusion.rna_fusion.tsv,bb6d0568-683c-4604-90c8-dedfedff9c76,Transcript Fusion,Structural Variation,RNA-Seq
82287690-370e-4faf-8970-339dcca9e43b,"[{'case_id': 'c72cb184-462d-4009-9cdb-848782ff8a76', 'submitter_id': 'TCGA-A2-A3XT'}]",7ca71290-b390-41d1-a5fa-cf98c9175b82.wxs.pindel.raw_somatic_mutation.vcf.gz,82287690-370e-4faf-8970-339dcca9e43b,Raw Simple Somatic Mutation,Simple Nucleotide Variation,WXS
