id,cases,file_name,file_id,data_type,submitter_id,data_category,experimental_strategy
5645320f-820e-45b7-b4cf-ea05085f53e3,"[{'case_id': 'aa30ac3d-4216-45dd-a314-1ae192fafcb2', 'submitter_id': 'TCGA-AR-A24M'}]",bb06ad3a-4d73-4f88-8f3c-954dce2b38ef.rna_seq.augmented_star_gene_counts.tsv,5645320f-820e-45b7-b4cf-ea05085f53e3,Gene Expression Quantification,d04c649b-a71d-4407-895a-b0a1bf74d6e1,Transcriptome Profiling,RNA-Seq
f9432d83-a322-4f5b-9c45-7dad736005a4,"[{'case_id': '4aacbc42-5ac5-4339-b9fa-c6e812084837', 'submitter_id': 'TCGA-E9-A22A'}]",c1f95e8e-aaaa-4090-8f64-c619aa543d1b.rna_seq.augmented_star_gene_counts.tsv,f9432d83-a322-4f5b-9c45-7dad736005a4,Gene Expression Quantification,15a9ec63-7894-4316-9524-d07218896128,Transcriptome Profiling,RNA-Seq
3d075fc4-5a01-47ce-bef0-a77acf71061d,"[{'case_id': '4a032bad-e726-48f2-8f39-e3acc109cc91', 'submitter_id': 'TCGA-BH-A0BZ'}]",707fad7d-f284-456a-abfa-17289b40579f.rna_seq.augmented_star_gene_counts.tsv,3d075fc4-5a01-47ce-bef0-a77acf71061d,Gene Expression Quantification,e84c0eaf-2a39-46f6-9694-3c9b7f9b7cfa,Transcriptome Profiling,RNA-Seq
f599be9a-0cac-4441-905c-5a6c87e7bc8c,"[{'case_id': '5d1d00c6-fcae-479e-ae1e-de76efd41d98', 'submitter_id': 'TCGA-BH-A0BW'}]",741fb6d6-364f-47a0-a262-f18235c48fc4.rna_seq.augmented_star_gene_counts.tsv,f599be9a-0cac-4441-905c-5a6c87e7bc8c,Gene Expression Quantification,7ad95ab5-8b43-4fa1-81d2-5e22beab00e5,Transcriptome Profiling,RNA-Seq
4f54add3-c33d-4bc9-9e1f-c75f52d15f1e,"[{'case_id': '4aa68586-6331-4795-b40c-859386640df6', 'submitter_id': 'TCGA-BH-A1FE'}]",2e4316d2-5fe5-4ee1-9b22-73f4c42b6202.rna_seq.augmented_star_gene_counts.tsv,4f54add3-c33d-4bc9-9e1f-c75f52d15f1e,Gene Expression Quantification,1c772045-3a44-4bfe-b140-85fa2ea8dc48,Transcriptome Profiling,RNA-Seq
fc0e74d2-ab94-48b1-8e31-808bde7a3fe6,"[{'case_id': '5d688049-f271-40ef-813a-d37240ffe21c', 'submitter_id': 'TCGA-A8-A07F'}]",3f3b6a7b-94f0-40a3-9f16-32bab2854678.rna_seq.augmented_star_gene_counts.tsv,fc0e74d2-ab94-48b1-8e31-808bde7a3fe6,Gene Expression Quantification,beccb200-ee52-4610-aadf-74b32163845f,Transcriptome Profiling,RNA-Seq
7ff8696e-3809-4b96-9259-be654631d952,"[{'case_id': 'd7195183-9fe4-4b17-bcfd-9367d2e539ce', 'submitter_id': 'TCGA-B6-A0WT'}]",db01aba1-3a00-4bf9-9f24-8fba144144f3.rna_seq.augmented_star_gene_counts.tsv,7ff8696e-3809-4b96-9259-be654631d952,Gene Expression Quantification,aebe98ff-81c7-46b7-ac94-0c455053871e,Transcriptome Profiling,RNA-Seq
73edea85-f978-4c99-b9c3-fda3ffc6a065,"[{'case_id': '298a1710-deb4-4064-a0f2-da32d43aa217', 'submitter_id': 'TCGA-C8-A12Y'}]",f8efdeb0-a8f8-4e2d-a52e-43d033e4ce6f.rna_seq.augmented_star_gene_counts.tsv,73edea85-f978-4c99-b9c3-fda3ffc6a065,Gene Expression Quantification,9deb2020-956d-413a-9780-f223323b0db2,Transcriptome Profiling,RNA-Seq
c00ad8a9-ed1d-4289-aa62-3e64cb574205,"[{'case_id': 'd5cab7f5-e4f1-40ee-a0c8-4c8004c1c9a0', 'submitter_id': 'TCGA-AN-A0FF'}]",b47b2efb-02e1-4729-95ad-de05fb551bc7.rna_seq.augmented_star_gene_counts.tsv,c00ad8a9-ed1d-4289-aa62-3e64cb574205,Gene Expression Quantification,240f7ca4-a0a0-4858-89bf-f1f317329f17,Transcriptome Profiling,RNA-Seq
d657ed9a-fd92-493c-ae10-120c8b0c58d7,"[{'case_id': 'e663954c-05a8-479a-a623-400c1eb5efc6', 'submitter_id': 'TCGA-BH-A1F5'}]",57730033-1db5-4e48-81ff-b6ee4f3c0ab4.rna_seq.augmented_star_gene_counts.tsv,d657ed9a-fd92-493c-ae10-120c8b0c58d7,Gene Expression Quantification,6864bc1c-2197-4c31-9333-3a0fb880798c,Transcriptome Profiling,RNA-Seq
