,PC1,PC2
616b6b60-8c4a-4d85-9a24-f47df6ad497e.rna_seq.augmented_star_gene_counts,2.729755809763188,-1.1634482717711234
619785ac-0041-4b26-a887-d8ca021eaab1.rna_seq.augmented_star_gene_counts,0.5673278952403912,2.5898919922014287
61a614bb-2249-4611-8aac-1a8e53d4467b.rna_seq.augmented_star_gene_counts,-2.5179066097564315,3.967200270860967
61f811cf-9dc1-4f48-ad62-c3ebfd1f0847.rna_seq.augmented_star_gene_counts,-2.2958416579164207,2.6460088105553905
6798cbfe-7aca-4f33-b4fc-162bf579a303.rna_seq.augmented_star_gene_counts,1.0497536510176695,-2.250060864309813
68503654-dd77-48f1-abab-aca55258dca4.rna_seq.augmented_star_gene_counts,-4.557361020278726,-1.8505243777918425
6cbfdf8b-fd71-4b6a-b360-1573ee5241a1.rna_seq.augmented_star_gene_counts,2.3177524613368585,1.7739298219340816
6f72a3df-b4db-4f04-aa1f-644dca35d3ab.rna_seq.augmented_star_gene_counts,0.5850546160663666,-1.557350267903306
707fad7d-f284-456a-abfa-17289b40579f.rna_seq.augmented_star_gene_counts,2.019789821258027,-1.4457300789745136
713df9b5-ea25-464c-b13e-fe8b61fe363d.rna_seq.augmented_star_gene_counts,-1.396748558397112,-2.5511050960959896
73e13f2d-a557-47f2-85e2-7bb8e3a48ef9.rna_seq.augmented_star_gene_counts,-0.7287692290817038,2.635871563028971
741fb6d6-364f-47a0-a262-f18235c48fc4.rna_seq.augmented_star_gene_counts,-2.960299224944333,3.3372679454127443
754df69c-2fab-4037-8673-fd3be673fc09.rna_seq.augmented_star_gene_counts,5.68042036374092,-0.10221751110892734
7c9a2493-5667-48ec-8998-81e13722b4ab.rna_seq.augmented_star_gene_counts,-13.221031215058769,-1.9306625911561475
81395cc8-c7d5-4ea7-957a-b5cb8d6bfd1a.rna_seq.augmented_star_gene_counts,0.8213495532778173,0.9525859638332801
815b70e5-858d-416d-94aa-6749960883ce.rna_seq.augmented_star_gene_counts,5.116152183225692,-0.9953440539789828
828c9648-f725-4d7e-ad37-e33692e2c67f.rna_seq.augmented_star_gene_counts,1.183611039554492,-6.901810100287675
834c833a-1e2d-48b6-87d5-e19bf2db6e1a.rna_seq.augmented_star_gene_counts,-1.2306531866115324,2.573226198770553
898f9214-8dab-4b92-9233-70c06c60078c.rna_seq.augmented_star_gene_counts,-7.644746556603137,5.873727695071454
8b5be676-9118-4038-9d54-6b80b14e43dc.rna_seq.augmented_star_gene_counts,2.248895600519192,0.9140835533076315
8d2f240f-43c3-4e0d-a6cc-79f6b174dace.rna_seq.augmented_star_gene_counts,3.062554387725483,0.3081190264649633
8d3d544f-6d1a-4cdc-8091-490311487ebd.rna_seq.augmented_star_gene_counts,0.7642628262369077,-3.747263043330987
92e64d91-88d8-4b1f-ab56-b593748b9f19.rna_seq.augmented_star_gene_counts,-2.37060804187038,-0.14881605070701479
92e7a9c0-ea88-419e-9afa-e7db5c8967b5.rna_seq.augmented_star_gene_counts,3.771109837295279,1.4164429922946273
93f26994-d3de-4c8a-bfde-86af8d85b01a.rna_seq.augmented_star_gene_counts,-1.3499014538798086,2.029799879835234
93f8d395-2512-41fc-992e-236b706dd281.rna_seq.augmented_star_gene_counts,2.998759077851807,-2.0681716366512575
94027f46-390c-4dda-ab89-cb1ac0a291cd.rna_seq.augmented_star_gene_counts,-0.1337550722772902,-0.46612074685217336
948f1e9e-702b-4f42-a766-fb6b4976b14d.rna_seq.augmented_star_gene_counts,0.8674096546598261,-0.5312706279928805
9935bf3a-de25-401c-bf1b-5225a62b24f7.rna_seq.augmented_star_gene_counts,-4.210483845606307,-0.761079046202783
99d31369-3db2-4631-bc62-1aa6927476ad.rna_seq.augmented_star_gene_counts,3.8515025226962036,-0.30659855845399375
9d515fd5-009a-4c32-95e7-042909d70b9f.rna_seq.augmented_star_gene_counts,-3.427791718988118,4.838901788588225
9da89066-8d82-4ace-80e1-889d3c73c8eb.rna_seq.augmented_star_gene_counts,-0.47586117122983257,1.2428314553986959
9fb65d01-d51d-4cbb-99f3-a09f5d6c206b.rna_seq.augmented_star_gene_counts,1.0182700025390559,-1.7122051192260308
a31cd337-8f1a-451d-9b90-b722590d3105.rna_seq.augmented_star_gene_counts,2.1775184287354037,-1.187399558251136
a3595c7e-948b-4d93-a623-477d7af84e15.rna_seq.augmented_star_gene_counts,1.1077634886805305,-2.772546930732794
a3624554-07c8-41d7-9b6b-f4cbf9de9301.rna_seq.augmented_star_gene_counts,2.5608655025969616,2.6293901562626867
a7428d3b-f84b-4c2f-a996-14a11af6b6df.rna_seq.augmented_star_gene_counts,-0.5112417610322739,0.38355660808997843
a8e0466b-d106-44b7-b846-c4fb666715f5.rna_seq.augmented_star_gene_counts,2.377919005822318,0.4727136105250068
aad82145-5742-4ef6-9de3-2c57e84642fc.rna_seq.augmented_star_gene_counts,-2.3644020347049772,-1.1904285473681415
ad44b37b-0bd2-4289-b03f-d52858da2d0f.rna_seq.augmented_star_gene_counts,2.659528855233756,0.29415535935342185
ad502a9c-1f1a-4118-a8f9-2cffb9b0c610.rna_seq.augmented_star_gene_counts,1.6130341573771871,-2.1537402633343605
af83a9af-a11f-4c29-a61f-8f0d2b5868c1.rna_seq.augmented_star_gene_counts,3.672320905847363,-0.7429511363018432
b25117ce-5a14-4b43-bbfe-513b957464d0.rna_seq.augmented_star_gene_counts,0.19627879573582538,-5.925209444124196
b31c9e1c-be79-4264-81a3-40b67f1f0bde.rna_seq.augmented_star_gene_counts,0.18068896367839837,0.9527640212499084
b35a11fb-548c-4b6c-99e7-c4114be6411a.rna_seq.augmented_star_gene_counts,-0.3185441738408041,3.372120664916423
b47b2efb-02e1-4729-95ad-de05fb551bc7.rna_seq.augmented_star_gene_counts,3.4675003318844264,1.1883175229521121
b773c30d-f37b-4aee-8330-a159d42d3019.rna_seq.augmented_star_gene_counts,0.9332956074712003,2.0885802314143995
b8542fa9-5521-48bc-ae1b-4e12a1744e0d.rna_seq.augmented_star_gene_counts,2.2655842077151593,1.4939860127192637
ba295155-272e-43eb-9d6a-e4c9c392e68b.rna_seq.augmented_star_gene_counts,3.090617144322222,3.132286953213308
bb06ad3a-4d73-4f88-8f3c-954dce2b38ef.rna_seq.augmented_star_gene_counts,3.402006848249351,3.3024543433096114
bcbe88a9-729e-4af8-9bb8-1ac65aa4bd23.rna_seq.augmented_star_gene_counts,-5.703517883094056,5.057810782839927
bdba14fb-88aa-43b0-8c25-53948b9935b7.rna_seq.augmented_star_gene_counts,-0.17542386518288797,-6.447174033092493
bf3ea4a0-bcd6-4e9d-acbb-3416f6ce53b7.rna_seq.augmented_star_gene_counts,-3.452101202064928,4.318801467839952
c07f871d-fea0-401a-b0c5-ec5685c311d7.rna_seq.augmented_star_gene_counts,2.8096558564794045,1.8998264768099937
c1f95e8e-aaaa-4090-8f64-c619aa543d1b.rna_seq.augmented_star_gene_counts,-0.5384968887643325,-0.6383287497724156
c2e73efe-8112-48fc-9dbd-29b4b5b89ad0.rna_seq.augmented_star_gene_counts,3.320166330298386,0.5814438668555914
c33ecc28-d5ba-4416-b93d-445b7883b6e8.rna_seq.augmented_star_gene_counts,-0.1498953874190161,-0.03360720057057513
c4eb8167-4c62-4a41-b9a7-f3259f945d9d.rna_seq.augmented_star_gene_counts,-2.5023775098074217,-1.3063077463056307
c5c93338-4046-4247-b5c2-ef133609797e.rna_seq.augmented_star_gene_counts,1.1063957471542254,0.12021668748404579
c5d4a1ed-8fd3-4435-96f5-ea5e56326f20.rna_seq.augmented_star_gene_counts,0.4843328376330572,3.3445592209911883
c62cda08-6134-47c6-8796-9da0788d9717.rna_seq.augmented_star_gene_counts,1.4988652550409567,3.2384286908078392
c63e3277-327a-4259-84f2-13d9a2c2d68a.rna_seq.augmented_star_gene_counts,0.9448827669067762,-0.3138159581469866
c6a90de3-979b-46b0-9f84-2875c1e38742.rna_seq.augmented_star_gene_counts,-3.433447077809509,4.503432817770172
c9496c77-cfbf-42db-a862-af0b878b9852.rna_seq.augmented_star_gene_counts,-13.666136709368248,0.48386736943854114
c98940e5-aff4-4eec-9cd7-708584356a5f.rna_seq.augmented_star_gene_counts,3.7499612607597146,-1.187419882933508
ce52c9b2-ab83-4efa-8abf-97475dcf892d.rna_seq.augmented_star_gene_counts,2.407474951179249,0.1259471740197979
ce76e826-0792-4dec-ace7-7efa3bb8db94.rna_seq.augmented_star_gene_counts,-0.6465210268103677,-1.2270241059835065
cf4160bb-9ef4-43c1-ac83-f6ca897101ee.rna_seq.augmented_star_gene_counts,1.5554443629769665,-0.5376674166078266
d05914c2-e76a-4050-b0bf-db3a08c1892e.rna_seq.augmented_star_gene_counts,-2.6124784534880168,1.6959182954742347
d078b2ae-790a-4220-98a0-18d311996ed5.rna_seq.augmented_star_gene_counts,-1.323347081012313,-3.702327540922258
d1ad6c3b-4e2a-40cd-b3e6-098b845d59cb.rna_seq.augmented_star_gene_counts,1.368328920284678,3.4288297008192212
d636f6ce-e820-4e8a-969f-c3ac2d46b191.rna_seq.augmented_star_gene_counts,2.269486349620287,0.9153122945404143
d769bce5-c92f-472f-8bb8-4bf4593e29d7.rna_seq.augmented_star_gene_counts,-0.5024098815069922,-3.051167851796277
db01aba1-3a00-4bf9-9f24-8fba144144f3.rna_seq.augmented_star_gene_counts,3.5465609951274293,2.2292182214399836
db5dab56-838e-4784-a7cf-f05296e356f7.rna_seq.augmented_star_gene_counts,-19.835104590917013,-1.3654355030133
dbb2f12c-e200-412a-9023-0126d6d69a52.rna_seq.augmented_star_gene_counts,-1.0355064771524338,-8.819947880908394
deb7967f-9339-4bb1-ae0b-81a72a472bba.rna_seq.augmented_star_gene_counts,-6.795184407701098,-2.8302492269808788
dede0990-1733-4473-bc48-78605f16834c.rna_seq.augmented_star_gene_counts,3.532269550381276,1.5069646550611042
df45fb41-4511-4dab-b865-fcdfcda0400a.rna_seq.augmented_star_gene_counts,1.2557990917985071,-2.8087149037762686
df6189e5-bd61-4be2-9d31-efef56cb4739.rna_seq.augmented_star_gene_counts,4.475786499211822,2.0213756084074093
e0527b4b-de23-4b9f-8871-13f64f6976cd.rna_seq.augmented_star_gene_counts,0.5195352594536796,-5.547672400849238
e5bcd6f9-680e-4d57-81f3-c8e6b40bb2af.rna_seq.augmented_star_gene_counts,-0.7417836057669359,-2.6898387380924063
e7c2b898-cd11-42a1-b309-b4de1ab01965.rna_seq.augmented_star_gene_counts,2.5990026866282587,0.8657445123983752
eb44c266-8b8f-4012-ad67-f4ac40698391.rna_seq.augmented_star_gene_counts,0.9776542563718726,0.9928630968111023
ecdac97e-eec5-4753-a572-8aff707178e5.rna_seq.augmented_star_gene_counts,0.03863426869041843,-0.8052027943069109
f0024165-4df2-454e-a0cb-17720455c0c9.rna_seq.augmented_star_gene_counts,1.3259500909043538,-4.852050844650489
f13d5df0-7293-4453-942f-2b49a3d33057.rna_seq.augmented_star_gene_counts,-0.30113211079061564,2.5548396402857296
f2dda955-5a39-43c1-93a2-83953b2b91d1.rna_seq.augmented_star_gene_counts,0.29760239857573956,-1.8702295785582945
f532a6be-de3e-420c-960a-23627589e7ad.rna_seq.augmented_star_gene_counts,-1.887803527887489,-7.2169239598155235
f7c6320e-0c39-4b92-9a25-fd4e03b70362.rna_seq.augmented_star_gene_counts,-2.09103501249952,-5.176000070125432
f7efa9c4-e7e2-406a-98e5-596f787c810e.rna_seq.augmented_star_gene_counts,-0.07322368688307107,-0.43628119243983915
f8efdeb0-a8f8-4e2d-a52e-43d033e4ce6f.rna_seq.augmented_star_gene_counts,1.220544458641366,-2.3018028149339136
f8ff90c6-3554-4e19-ae56-18f30f51f9b5.rna_seq.augmented_star_gene_counts,1.7326106900796132,1.3933608970540874
fb49b14e-d40f-4270-98b3-458ce60f2cde.rna_seq.augmented_star_gene_counts,2.818891512635182,1.1868256539691977
fb9c23f2-8694-41ca-a126-a5a131abeac1.rna_seq.augmented_star_gene_counts,0.48445790411955625,1.2028470434616096
fd71e0e9-e77a-465b-b118-b1f9665d5797.rna_seq.augmented_star_gene_counts,0.4267881802515473,1.5448010790996045
ff0feb3e-6d14-4297-ac23-1eb397663ec3.rna_seq.augmented_star_gene_counts,-1.1184481018283499,-1.7895166827885125
